2020-05-29 09:38:50.416012	https://www.encodeproject.org/report/?type=Experiment&status=released&assay_title=TF+ChIP-seq&target.investigated_as=transcription+factor&files.file_type=bed+narrowPeak&field=%40id&field=accession&field=target.label&field=target.genes.symbol&field=dbxrefs&replicates.library.biosample.donor.organism.scientific_name=Drosophila+melanogaster&award.rfa=modERN&limit=all
ID	Accession	Target of assay	Target gene symbol	External resources
/experiments/ENCSR167BID/	ENCSR167BID	bcd	bcd	FactorBook:ENCSR167BID
/experiments/ENCSR909XXF/	ENCSR909XXF	PHDP	PHDP	FactorBook:ENCSR909XXF
/experiments/ENCSR615RMC/	ENCSR615RMC	D19B	D19B	FactorBook:ENCSR615RMC
/experiments/ENCSR035GCI/	ENCSR035GCI	nau	nau	FactorBook:ENCSR035GCI
/experiments/ENCSR271ZJI/	ENCSR271ZJI	CG18619	REPTOR-BP	FactorBook:ENCSR271ZJI
/experiments/ENCSR800UAU/	ENCSR800UAU	D1	D1	FactorBook:ENCSR800UAU
/experiments/ENCSR564UWC/	ENCSR564UWC	Vsx1	Vsx1	FactorBook:ENCSR564UWC
/experiments/ENCSR497FYG/	ENCSR497FYG	EcR	EcR	FactorBook:ENCSR497FYG
/experiments/ENCSR220HPB/	ENCSR220HPB	tll	tll	FactorBook:ENCSR220HPB
/experiments/ENCSR121SPZ/	ENCSR121SPZ	crp	crp	FactorBook:ENCSR121SPZ
/experiments/ENCSR248JJL/	ENCSR248JJL	chn	chn	FactorBook:ENCSR248JJL
/experiments/ENCSR450VJF/	ENCSR450VJF	CG10543	CG10543	FactorBook:ENCSR450VJF
/experiments/ENCSR014ETB/	ENCSR014ETB	lola	lola	FactorBook:ENCSR014ETB
/experiments/ENCSR888UWA/	ENCSR888UWA	bab1	bab1	FactorBook:ENCSR888UWA
/experiments/ENCSR032DLA/	ENCSR032DLA	Usf	Usf	FactorBook:ENCSR032DLA
/experiments/ENCSR932STL/	ENCSR932STL	Elba2	Elba2	FactorBook:ENCSR932STL
/experiments/ENCSR082RBU/	ENCSR082RBU	Antp	Antp	FactorBook:ENCSR082RBU
/experiments/ENCSR214LWK/	ENCSR214LWK	CG33557	CG33557	FactorBook:ENCSR214LWK
/experiments/ENCSR776VNR/	ENCSR776VNR	gcm	gcm	FactorBook:ENCSR776VNR
/experiments/ENCSR266CSS/	ENCSR266CSS	CG3407	CG3407	FactorBook:ENCSR266CSS
/experiments/ENCSR593ZMJ/	ENCSR593ZMJ	mirr	mirr	FactorBook:ENCSR593ZMJ
/experiments/ENCSR776AVR/	ENCSR776AVR	CG7786	CG7786	FactorBook:ENCSR776AVR
/experiments/ENCSR919WAW/	ENCSR919WAW	CG11902	CG11902	FactorBook:ENCSR919WAW
